2018-04-20 08:46:15.223 [ main ] - [ INFO  ] [ com.running.coins.RunningclubApplication : 50 ] - Starting RunningclubApplication on LM-SHC-16502802 with PID 18898 (/Users/fangzhang/IdeaProjects/runningclub/running_coin/backend/target/classes started by fangzhang in /Users/fangzhang/IdeaProjects/runningclub/running_coin/backend)
2018-04-20 09:31:51.628 [ localhost-startStop-1 ] - [ INFO  ] [ org.apache.catalina.core.AprLifecycleListener : 180 ] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/fangzhang/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2018-04-20 09:31:51.761 [ localhost-startStop-1 ] - [ INFO  ] [ o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : 180 ] - Initializing Spring embedded WebApplicationContext
2018-04-20 09:31:52.575 [ main ] - [ INFO  ] [ org.apache.catalina.core.StandardService : 180 ] - Stopping service [Tomcat]
2018-04-20 09:32:57.824 [ main ] - [ INFO  ] [ com.running.coins.RunningclubApplication : 50 ] - Starting RunningclubApplication on LM-SHC-16502802 with PID 26237 (/Users/fangzhang/IdeaProjects/runningclub/running_coin/backend/target/classes started by fangzhang in /Users/fangzhang/IdeaProjects/runningclub/running_coin/backend)
2018-04-20 09:32:57.827 [ main ] - [ INFO  ] [ com.running.coins.RunningclubApplication : 659 ] - No active profile set, falling back to default profiles: default
2018-04-20 09:32:59.458 [ main ] - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 180 ] - Initializing ProtocolHandler ["http-nio-9090"]
2018-04-20 09:32:59.467 [ main ] - [ INFO  ] [ org.apache.catalina.core.StandardService : 180 ] - Starting service [Tomcat]
2018-04-20 09:32:59.468 [ main ] - [ INFO  ] [ org.apache.catalina.core.StandardEngine : 180 ] - Starting Servlet Engine: Apache Tomcat/8.5.29
2018-04-20 09:32:59.471 [ localhost-startStop-1 ] - [ INFO  ] [ org.apache.catalina.core.AprLifecycleListener : 180 ] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/fangzhang/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2018-04-20 09:32:59.623 [ localhost-startStop-1 ] - [ INFO  ] [ o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : 180 ] - Initializing Spring embedded WebApplicationContext
2018-04-20 09:33:00.549 [ main ] - [ INFO  ] [ org.apache.catalina.core.StandardService : 180 ] - Stopping service [Tomcat]
2018-04-20 09:34:39.363 [ main ] - [ INFO  ] [ com.running.coins.RunningclubApplication : 50 ] - Starting RunningclubApplication on LM-SHC-16502802 with PID 26276 (/Users/fangzhang/IdeaProjects/runningclub/running_coin/backend/target/classes started by fangzhang in /Users/fangzhang/IdeaProjects/runningclub/running_coin/backend)
2018-04-20 09:34:39.366 [ main ] - [ INFO  ] [ com.running.coins.RunningclubApplication : 659 ] - No active profile set, falling back to default profiles: default
2018-04-20 09:34:40.848 [ main ] - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 180 ] - Initializing ProtocolHandler ["http-nio-9090"]
2018-04-20 09:34:40.856 [ main ] - [ INFO  ] [ org.apache.catalina.core.StandardService : 180 ] - Starting service [Tomcat]
2018-04-20 09:34:40.856 [ main ] - [ INFO  ] [ org.apache.catalina.core.StandardEngine : 180 ] - Starting Servlet Engine: Apache Tomcat/8.5.29
2018-04-20 09:34:40.859 [ localhost-startStop-1 ] - [ INFO  ] [ org.apache.catalina.core.AprLifecycleListener : 180 ] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/fangzhang/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2018-04-20 09:34:40.996 [ localhost-startStop-1 ] - [ INFO  ] [ o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : 180 ] - Initializing Spring embedded WebApplicationContext
2018-04-20 09:34:41.851 [ main ] - [ INFO  ] [ org.apache.catalina.core.StandardService : 180 ] - Stopping service [Tomcat]
2018-04-20 09:35:21.618 [ main ] - [ INFO  ] [ com.running.coins.RunningclubApplicationTests : 50 ] - Starting RunningclubApplicationTests on LM-SHC-16502802 with PID 26294 (started by fangzhang in /Users/fangzhang/IdeaProjects/runningclub/running_coin/backend)
2018-04-20 09:35:21.620 [ main ] - [ INFO  ] [ com.running.coins.RunningclubApplicationTests : 659 ] - No active profile set, falling back to default profiles: default
2018-04-20 09:38:30.686 [ main ] - [ INFO  ] [ com.running.coins.RunningclubApplicationTests : 50 ] - Starting RunningclubApplicationTests on LM-SHC-16502802 with PID 26363 (started by fangzhang in /Users/fangzhang/IdeaProjects/runningclub/running_coin/backend)
2018-04-20 09:38:30.688 [ main ] - [ INFO  ] [ com.running.coins.RunningclubApplicationTests : 659 ] - No active profile set, falling back to default profiles: default
2018-04-20 09:39:10.314 [ main ] - [ INFO  ] [ com.running.coins.RunningclubApplicationTests : 50 ] - Starting RunningclubApplicationTests on LM-SHC-16502802 with PID 26407 (started by fangzhang in /Users/fangzhang/IdeaProjects/runningclub/running_coin/backend)
2018-04-20 09:39:10.315 [ main ] - [ INFO  ] [ com.running.coins.RunningclubApplicationTests : 659 ] - No active profile set, falling back to default profiles: default
2018-04-20 09:40:19.764 [ main ] - [ INFO  ] [ com.running.coins.RunningclubApplicationTests : 50 ] - Starting RunningclubApplicationTests on LM-SHC-16502802 with PID 29108 (started by fangzhang in /Users/fangzhang/IdeaProjects/runningclub/running_coin/backend)
2018-04-20 09:40:19.766 [ main ] - [ INFO  ] [ com.running.coins.RunningclubApplicationTests : 659 ] - No active profile set, falling back to default profiles: default
2018-04-20 09:40:23.956 [ main ] - [ INFO  ] [ com.zaxxer.hikari.HikariDataSource : 110 ] - HikariPool-1 - Starting...
2018-04-20 09:40:24.219 [ main ] - [ INFO  ] [ com.zaxxer.hikari.HikariDataSource : 123 ] - HikariPool-1 - Start completed.
2018-04-20 09:40:24.276 [ main ] - [ INFO  ] [ org.quartz.impl.StdSchedulerFactory : 1208 ] - Using default implementation for ThreadExecutor
2018-04-20 09:40:24.293 [ main ] - [ INFO  ] [ org.quartz.core.SchedulerSignalerImpl : 61 ] - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2018-04-20 09:40:24.293 [ main ] - [ INFO  ] [ org.quartz.core.QuartzScheduler : 229 ] - Quartz Scheduler v.2.3.0 created.
2018-04-20 09:40:24.294 [ main ] - [ INFO  ] [ org.quartz.simpl.RAMJobStore : 155 ] - RAMJobStore initialized.
2018-04-20 09:40:24.295 [ main ] - [ INFO  ] [ org.quartz.core.QuartzScheduler : 294 ] - Scheduler meta-data: Quartz Scheduler (v2.3.0) 'quartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

2018-04-20 09:40:24.296 [ main ] - [ INFO  ] [ org.quartz.impl.StdSchedulerFactory : 1362 ] - Quartz scheduler 'quartzScheduler' initialized from an externally provided properties instance.
2018-04-20 09:40:24.296 [ main ] - [ INFO  ] [ org.quartz.impl.StdSchedulerFactory : 1366 ] - Quartz scheduler version: 2.3.0
2018-04-20 09:40:24.296 [ main ] - [ INFO  ] [ org.quartz.core.QuartzScheduler : 2287 ] - JobFactory set to: org.springframework.boot.autoconfigure.quartz.AutowireCapableBeanJobFactory@5cffec7
2018-04-20 09:40:24.396 [ main ] - [ INFO  ] [ org.quartz.core.QuartzScheduler : 547 ] - Scheduler quartzScheduler_$_NON_CLUSTERED started.
2018-04-20 09:40:24.408 [ main ] - [ INFO  ] [ s.d.s.web.plugins.DocumentationPluginsBootstrapper : 80 ] - Context refreshed
2018-04-20 09:40:24.435 [ main ] - [ INFO  ] [ s.d.s.web.plugins.DocumentationPluginsBootstrapper : 83 ] - Found {0} custom documentation plugin(s)
2018-04-20 09:40:24.444 [ main ] - [ INFO  ] [ s.d.spring.web.scanners.ApiListingReferenceScanner : 53 ] - Scanning for api listing references
2018-04-20 09:40:24.448 [ main ] - [ INFO  ] [ s.d.s.web.ClassOrApiAnnotationResourceGrouping : 100 ] - Group for method getEveryoneWeeklyReport was front-controller
2018-04-20 09:40:24.450 [ main ] - [ INFO  ] [ s.d.spring.web.scanners.ApiListingReferenceScanner : 72 ] - Request mapping: getEveryoneWeeklyReport belongs to groups: [[ResourceGroup{groupName='front-controller', position=0, controller=com.running.coins.controller.FrontController}]] 
2018-04-20 09:40:24.452 [ main ] - [ INFO  ] [ s.d.s.web.ClassOrApiAnnotationResourceGrouping : 100 ] - Group for method userJoin was front-controller
2018-04-20 09:40:24.452 [ main ] - [ INFO  ] [ s.d.spring.web.scanners.ApiListingReferenceScanner : 72 ] - Request mapping: userJoin belongs to groups: [[ResourceGroup{groupName='front-controller', position=0, controller=com.running.coins.controller.FrontController}]] 
2018-04-20 09:40:24.452 [ main ] - [ INFO  ] [ s.d.s.web.ClassOrApiAnnotationResourceGrouping : 100 ] - Group for method getUserWeeklyReport was front-controller
2018-04-20 09:40:24.453 [ main ] - [ INFO  ] [ s.d.spring.web.scanners.ApiListingReferenceScanner : 72 ] - Request mapping: getUserWeeklyReport belongs to groups: [[ResourceGroup{groupName='front-controller', position=0, controller=com.running.coins.controller.FrontController}]] 
2018-04-20 09:40:24.453 [ main ] - [ INFO  ] [ s.d.s.web.ClassOrApiAnnotationResourceGrouping : 100 ] - Group for method submitRecord was running-controller
2018-04-20 09:40:24.453 [ main ] - [ INFO  ] [ s.d.spring.web.scanners.ApiListingReferenceScanner : 72 ] - Request mapping: submitRecord belongs to groups: [[ResourceGroup{groupName='running-controller', position=0, controller=com.running.coins.controller.RunningController}]] 
2018-04-20 09:40:24.454 [ main ] - [ INFO  ] [ s.d.s.web.ClassOrApiAnnotationResourceGrouping : 100 ] - Group for method submitTarget was running-controller
2018-04-20 09:40:24.454 [ main ] - [ INFO  ] [ s.d.spring.web.scanners.ApiListingReferenceScanner : 72 ] - Request mapping: submitTarget belongs to groups: [[ResourceGroup{groupName='running-controller', position=0, controller=com.running.coins.controller.RunningController}]] 
2018-04-20 09:40:24.454 [ main ] - [ INFO  ] [ s.d.s.web.ClassOrApiAnnotationResourceGrouping : 100 ] - Group for method vote was vote-controller
2018-04-20 09:40:24.455 [ main ] - [ INFO  ] [ s.d.spring.web.scanners.ApiListingReferenceScanner : 72 ] - Request mapping: vote belongs to groups: [[ResourceGroup{groupName='vote-controller', position=0, controller=com.running.coins.controller.VoteController}]] 
2018-04-20 09:40:24.458 [ main ] - [ INFO  ] [ s.d.spring.web.scanners.ApiListingReferenceScanner : 84 ] - Created resource listing Path: /default/front-controller Description: front-controller Position: 0
2018-04-20 09:40:24.459 [ main ] - [ INFO  ] [ s.d.spring.web.scanners.ApiListingReferenceScanner : 84 ] - Created resource listing Path: /default/running-controller Description: running-controller Position: 0
2018-04-20 09:40:24.459 [ main ] - [ INFO  ] [ s.d.spring.web.scanners.ApiListingReferenceScanner : 84 ] - Created resource listing Path: /default/vote-controller Description: vote-controller Position: 0
2018-04-20 09:40:24.482 [ main ] - [ INFO  ] [ s.documentation.schema.ModelContextKeyGenerator : 46 ] - Cache Key Generated: com.running.coins.model.request.WeeklyReportRequest(false)
2018-04-20 09:40:24.482 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 79 ] - Caching aspect applied for cache models with key com.running.coins.model.request.WeeklyReportRequest(false)
2018-04-20 09:40:24.490 [ main ] - [ INFO  ] [ s.d.schema.property.ModelPropertiesKeyGenerator : 48 ] - Cache key generated: com.running.coins.model.request.WeeklyReportRequest(false)
2018-04-20 09:40:24.490 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 68 ] - Caching aspect applied for cache modelProperties with key com.running.coins.model.request.WeeklyReportRequest(false)
2018-04-20 09:40:24.522 [ main ] - [ INFO  ] [ s.documentation.schema.ModelContextKeyGenerator : 46 ] - Cache Key Generated: com.running.coins.model.request.WeeklyReportRequest(false)
2018-04-20 09:40:24.522 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 79 ] - Caching aspect applied for cache modelDependencies with key com.running.coins.model.request.WeeklyReportRequest(false)
2018-04-20 09:40:24.529 [ main ] - [ INFO  ] [ s.d.schema.property.ModelPropertiesKeyGenerator : 48 ] - Cache key generated: com.running.coins.model.request.WeeklyReportRequest(false)
2018-04-20 09:40:24.529 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 68 ] - Caching aspect applied for cache modelProperties with key com.running.coins.model.request.WeeklyReportRequest(false)
2018-04-20 09:40:24.531 [ main ] - [ INFO  ] [ s.documentation.schema.ModelContextKeyGenerator : 46 ] - Cache Key Generated: com.running.coins.model.response.ResponseMessage(true)
2018-04-20 09:40:24.532 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 79 ] - Caching aspect applied for cache models with key com.running.coins.model.response.ResponseMessage(true)
2018-04-20 09:40:24.532 [ main ] - [ INFO  ] [ s.d.schema.property.ModelPropertiesKeyGenerator : 48 ] - Cache key generated: com.running.coins.model.response.ResponseMessage(true)
2018-04-20 09:40:24.532 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 68 ] - Caching aspect applied for cache modelProperties with key com.running.coins.model.response.ResponseMessage(true)
2018-04-20 09:40:24.535 [ main ] - [ INFO  ] [ s.documentation.schema.ModelContextKeyGenerator : 46 ] - Cache Key Generated: com.running.coins.model.response.ResponseMessage(true)
2018-04-20 09:40:24.536 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 79 ] - Caching aspect applied for cache modelDependencies with key com.running.coins.model.response.ResponseMessage(true)
2018-04-20 09:40:24.536 [ main ] - [ INFO  ] [ s.d.schema.property.ModelPropertiesKeyGenerator : 48 ] - Cache key generated: com.running.coins.model.response.ResponseMessage(true)
2018-04-20 09:40:24.536 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 68 ] - Caching aspect applied for cache modelProperties with key com.running.coins.model.response.ResponseMessage(true)
2018-04-20 09:40:24.538 [ main ] - [ INFO  ] [ s.documentation.spring.web.OperationsKeyGenerator : 51 ] - Cache key generated: /front/everyone/weekly/report.com.running.coins.controller.FrontController.getEveryoneWeeklyReport.DefaultGenericTypeNamingStrategy
2018-04-20 09:40:24.538 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 68 ] - Caching aspect applied for cache operations with key /front/everyone/weekly/report.com.running.coins.controller.FrontController.getEveryoneWeeklyReport.DefaultGenericTypeNamingStrategy
2018-04-20 09:40:24.554 [ main ] - [ INFO  ] [ s.d.s.web.ClassOrApiAnnotationResourceGrouping : 100 ] - Group for method getEveryoneWeeklyReport was front-controller
2018-04-20 09:40:24.570 [ main ] - [ INFO  ] [ s.d.s.web.ClassOrApiAnnotationResourceGrouping : 100 ] - Group for method getEveryoneWeeklyReport was front-controller
2018-04-20 09:40:24.579 [ main ] - [ INFO  ] [ s.documentation.schema.ModelContextKeyGenerator : 46 ] - Cache Key Generated: com.running.coins.model.request.CurrentUserWeeklyReportRequest(false)
2018-04-20 09:40:24.579 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 79 ] - Caching aspect applied for cache models with key com.running.coins.model.request.CurrentUserWeeklyReportRequest(false)
2018-04-20 09:40:24.579 [ main ] - [ INFO  ] [ s.d.schema.property.ModelPropertiesKeyGenerator : 48 ] - Cache key generated: com.running.coins.model.request.CurrentUserWeeklyReportRequest(false)
2018-04-20 09:40:24.579 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 68 ] - Caching aspect applied for cache modelProperties with key com.running.coins.model.request.CurrentUserWeeklyReportRequest(false)
2018-04-20 09:40:24.581 [ main ] - [ INFO  ] [ s.documentation.schema.ModelContextKeyGenerator : 46 ] - Cache Key Generated: com.running.coins.model.request.CurrentUserWeeklyReportRequest(false)
2018-04-20 09:40:24.581 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 79 ] - Caching aspect applied for cache modelDependencies with key com.running.coins.model.request.CurrentUserWeeklyReportRequest(false)
2018-04-20 09:40:24.581 [ main ] - [ INFO  ] [ s.d.schema.property.ModelPropertiesKeyGenerator : 48 ] - Cache key generated: com.running.coins.model.request.CurrentUserWeeklyReportRequest(false)
2018-04-20 09:40:24.582 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 68 ] - Caching aspect applied for cache modelProperties with key com.running.coins.model.request.CurrentUserWeeklyReportRequest(false)
2018-04-20 09:40:24.582 [ main ] - [ INFO  ] [ s.documentation.schema.ModelContextKeyGenerator : 46 ] - Cache Key Generated: com.running.coins.model.response.ResponseMessage(true)
2018-04-20 09:40:24.582 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 79 ] - Caching aspect applied for cache models with key com.running.coins.model.response.ResponseMessage(true)
2018-04-20 09:40:24.582 [ main ] - [ INFO  ] [ s.documentation.schema.ModelContextKeyGenerator : 46 ] - Cache Key Generated: com.running.coins.model.response.ResponseMessage(true)
2018-04-20 09:40:24.583 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 79 ] - Caching aspect applied for cache modelDependencies with key com.running.coins.model.response.ResponseMessage(true)
2018-04-20 09:40:24.583 [ main ] - [ INFO  ] [ s.documentation.spring.web.OperationsKeyGenerator : 51 ] - Cache key generated: /front/user/weekly/report.com.running.coins.controller.FrontController.getUserWeeklyReport.DefaultGenericTypeNamingStrategy
2018-04-20 09:40:24.583 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 68 ] - Caching aspect applied for cache operations with key /front/user/weekly/report.com.running.coins.controller.FrontController.getUserWeeklyReport.DefaultGenericTypeNamingStrategy
2018-04-20 09:40:24.585 [ main ] - [ INFO  ] [ s.d.s.web.ClassOrApiAnnotationResourceGrouping : 100 ] - Group for method getUserWeeklyReport was front-controller
2018-04-20 09:40:24.586 [ main ] - [ INFO  ] [ s.d.s.web.ClassOrApiAnnotationResourceGrouping : 100 ] - Group for method getUserWeeklyReport was front-controller
2018-04-20 09:40:24.588 [ main ] - [ INFO  ] [ s.documentation.schema.ModelContextKeyGenerator : 46 ] - Cache Key Generated: com.running.coins.model.request.UserJoinRequest(false)
2018-04-20 09:40:24.588 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 79 ] - Caching aspect applied for cache models with key com.running.coins.model.request.UserJoinRequest(false)
2018-04-20 09:40:24.589 [ main ] - [ INFO  ] [ s.d.schema.property.ModelPropertiesKeyGenerator : 48 ] - Cache key generated: com.running.coins.model.request.UserJoinRequest(false)
2018-04-20 09:40:24.589 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 68 ] - Caching aspect applied for cache modelProperties with key com.running.coins.model.request.UserJoinRequest(false)
2018-04-20 09:40:24.591 [ main ] - [ INFO  ] [ s.documentation.schema.ModelContextKeyGenerator : 46 ] - Cache Key Generated: com.running.coins.model.request.UserJoinRequest(false)
2018-04-20 09:40:24.591 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 79 ] - Caching aspect applied for cache modelDependencies with key com.running.coins.model.request.UserJoinRequest(false)
2018-04-20 09:40:24.591 [ main ] - [ INFO  ] [ s.d.schema.property.ModelPropertiesKeyGenerator : 48 ] - Cache key generated: com.running.coins.model.request.UserJoinRequest(false)
2018-04-20 09:40:24.592 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 68 ] - Caching aspect applied for cache modelProperties with key com.running.coins.model.request.UserJoinRequest(false)
2018-04-20 09:40:24.592 [ main ] - [ INFO  ] [ s.documentation.schema.ModelContextKeyGenerator : 46 ] - Cache Key Generated: com.running.coins.model.response.ResponseMessage(true)
2018-04-20 09:40:24.592 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 79 ] - Caching aspect applied for cache models with key com.running.coins.model.response.ResponseMessage(true)
2018-04-20 09:40:24.592 [ main ] - [ INFO  ] [ s.documentation.schema.ModelContextKeyGenerator : 46 ] - Cache Key Generated: com.running.coins.model.response.ResponseMessage(true)
2018-04-20 09:40:24.593 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 79 ] - Caching aspect applied for cache modelDependencies with key com.running.coins.model.response.ResponseMessage(true)
2018-04-20 09:40:24.593 [ main ] - [ INFO  ] [ s.documentation.spring.web.OperationsKeyGenerator : 51 ] - Cache key generated: /front/user/join.com.running.coins.controller.FrontController.userJoin.DefaultGenericTypeNamingStrategy
2018-04-20 09:40:24.593 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 68 ] - Caching aspect applied for cache operations with key /front/user/join.com.running.coins.controller.FrontController.userJoin.DefaultGenericTypeNamingStrategy
2018-04-20 09:40:24.594 [ main ] - [ INFO  ] [ s.d.s.web.ClassOrApiAnnotationResourceGrouping : 100 ] - Group for method userJoin was front-controller
2018-04-20 09:40:24.595 [ main ] - [ INFO  ] [ s.d.s.web.ClassOrApiAnnotationResourceGrouping : 100 ] - Group for method userJoin was front-controller
2018-04-20 09:40:24.600 [ main ] - [ INFO  ] [ s.documentation.schema.ModelContextKeyGenerator : 46 ] - Cache Key Generated: com.running.coins.model.request.SubmitUserSportRecordRequest(false)
2018-04-20 09:40:24.601 [ main ] - [ INFO  ] [ s.documentation.spring.web.caching.CachingAspect : 79 ] - Caching aspect applied for cache models with key com.running.coins.model.request.SubmitUserSportRecordRequest(false)
2018-04-20 09:40:24.601 [ main ] - [ INFO  ] [ s.d.schema.property.ModelPropertiesKeyGenerator : 48 ] - Cache key generated: com.running.coins.model.request.SubmitUserSportRecordRequest(false)
